Time,Gas Level
22:28:00,135.5962272192549
22:28:02,269.30376685567944
22:28:05,316.4770737853678
22:28:07,251.42017072686716
22:28:09,1195.184250065881
22:28:11,786.3427309027702
22:28:13,945.8832067860318
22:28:15,793.1941520865137
22:28:17,465.2196531563136
22:28:19,712.124627221518
22:28:21,444.70737696501874
22:28:23,930.0412413949381
22:28:25,641.4136435687228
22:28:27,1186.4153691136544
22:28:29,171.9496162150034
22:28:31,1115.419232471733
22:28:33,1008.6939503202677
22:28:35,1059.145590244759
22:28:37,575.2887776613318
22:28:39,992.8090835651279
22:28:41,328.54993809138705
22:28:43,1024.7581820576745
22:28:45,198.87776557111812
22:28:47,470.585754550821
22:28:49,1099.4229779129134
22:28:51,326.5383941219947
22:28:53,642.6860931126356
22:41:01,751.1841147044266
22:41:03,953.387910600333
22:41:05,277.23420461524927
22:41:07,693.1161331874711
22:41:09,1121.180289799468
22:41:11,925.3879048370413
22:41:13,254.4822915724321
22:41:15,1071.661849812599
22:41:17,124.40150943764098
22:41:19,503.7168186357242
22:41:21,588.3811823045144
22:41:23,858.1387079288049
22:41:26,747.8366961555474
22:41:28,226.03982513343095
22:41:30,222.05514492515857
22:41:32,310.11867493830766
22:41:34,521.2623844423365
22:41:36,841.4231731074843
22:41:38,1194.0303273614873
22:41:40,1119.534684151681
22:41:42,405.1117481863672
22:41:44,401.2161648665007
22:41:46,150.42457734550493
22:41:48,365.83494366516356
22:41:50,439.571769400935
22:41:52,1027.3405713714128
22:41:54,348.66509681477316
22:41:56,654.2838335017005
22:41:58,813.64995586606
22:42:00,823.8001224318695
22:42:02,511.28458265084356
22:42:04,487.83019832847395
22:42:06,860.0487643375662
22:42:08,222.04296566534424
22:42:10,1148.3179545463659
22:42:12,1073.7187159931523
22:42:14,849.4693722177198
22:42:16,216.17868030287065
22:42:19,648.1862503346979
22:42:21,936.7143189070183
22:42:23,278.99033869394043
22:42:25,781.7622894093814
22:42:27,920.7334749078232
22:42:29,473.28619379211455
22:42:31,1187.4590693366802
22:42:33,107.25507167280794
22:42:35,411.0873298375578
22:42:37,230.93155116443606
22:42:39,193.7031224819205
22:42:41,1082.4936402835829
22:42:43,702.463412444848
22:42:45,294.79899455940813
22:42:47,434.69136128632124
22:42:49,729.2975457342266
22:42:51,507.121525717074
22:42:53,752.9400762511135
22:42:55,941.3662947212016
22:42:57,987.2309773019492
22:42:59,266.3353718340414
22:43:01,567.4231610973137
22:43:03,120.8817821555529
22:43:05,574.6629622758327
22:43:08,711.3833374744913
22:43:10,472.13776478443015
22:43:12,1098.2744457665808
22:43:14,283.85448349124
22:43:16,580.5675282607092
22:43:18,946.7250960466667
22:43:20,260.1216410282902
22:43:22,837.4662998042321
22:43:24,974.7865011776398
22:43:26,588.6252835245125
22:43:28,334.6403361668911
22:43:30,150.4408683565686
22:43:32,1069.2346217159618
22:43:34,1083.9533501806695
22:43:36,640.5413439938299
